INS_time_ms, INS_Lat, INS_Lon, Nearest_Lat, Nearest_Lon, GT_D2L_m, Frame_no, ODO_D2L_m, Lat_new, Lon_new, GPS_stauts
475604150,47.7340254,10.3467997,47.73401837,10.34679297,0.834818,9004,0.7308,47.73402186,10.34680124,8
475604200,47.7340141,10.34681,47.73401067,10.34679996,0.840056,9005,0.7287,47.73401415,10.3468082,8
475604250,47.7340028,10.3468202,47.73399527,10.34681392,0.83864,9006,0.714,47.73399868,10.346822,8
475604300,47.7339915,10.3468304,47.73398757,10.34682091,0.834292,9007,0.7203,47.73399101,10.34682906,8
475604350,47.7339802,10.3468406,47.73397217,10.34683487,0.82942,9008,0.7056,47.73397554,10.34684285,8
475604400,47.7339689,10.3468508,47.73396446,10.34684185,0.829083,9009,0.7266,47.73396793,10.34685007,8
475604450,47.7339575,10.346861,47.73394906,10.34685582,0.820049,9010,0.7224,47.73395251,10.34686399,8
475604500,47.7339462,10.3468713,47.73394136,10.3468628,0.822935,9011,0.7224,47.73394481,10.34687097,8
475604550,47.7339349,10.3468815,47.73392596,10.34687677,0.818538,9012,0.7077,47.73392934,10.34688478,8
475604600,47.7339235,10.3468917,47.73391826,10.34688375,0.811134,9013,0.7161,47.73392168,10.34689185,8
475604650,47.7339122,10.3469019,47.73390286,10.34689772,0.804459,9014,0.7077,47.73390624,10.34690573,8
475604700,47.7339009,10.3469121,47.73389516,10.3469047,0.80758,9015,0.7182,47.73389859,10.34691283,8
475604750,47.7338896,10.3469224,47.73387976,10.34691867,0.810608,9016,0.714,47.73388317,10.34692675,8
475604800,47.7338782,10.3469326,47.73387205,10.34692566,0.80097,9017,0.7182,47.73387548,10.34693379,8
475604850,47.7338669,10.3469428,47.73386435,10.34693264,0.797446,9018,0.6993,47.73386769,10.34694055,8
475604900,47.7338556,10.346953,47.73384895,10.34694661,0.790564,9019,0.7098,47.73385234,10.34695464,8
475604950,47.7338442,10.3469632,47.73384125,10.34695359,0.785266,9020,0.714,47.73384466,10.34696167,8
475605000,47.7338329,10.3469734,47.73382585,10.34696756,0.783906,9021,0.7245,47.73382931,10.34697576,8
475605050,47.7338216,10.3469837,47.73381815,10.34697454,0.785569,9022,0.6573,47.73382129,10.34698198,8
475605100,47.7338102,10.3469939,47.73380275,10.34698851,0.780166,9023,0.672,47.73380596,10.34699611,8
475605150,47.7337989,10.3470041,47.73379505,10.3469955,0.772792,9024,0.693,47.73379836,10.34700334,8
475605200,47.7337876,10.3470143,47.73377965,10.34700947,0.7713,9025,0.693,47.73378296,10.34701731,8
475605250,47.7337763,10.3470246,47.73377195,10.34701645,0.77269,9026,0.693,47.73377526,10.34702429,8
