INS_time_ms, INS_Lat, INS_Lon, Nearest_Lat, Nearest_Lon, GT_D2L_m, Frame_no, ODO_D2L_m, Lat_new, Lon_new, GPS_stauts
475603750, 47.73411590, 10.34671780, 47.73411080, 10.34670919, 0.845210, 8996, 0.699300, 47.73411414, 10.34671710, 8
475603800, 47.73410460, 10.34672800, 47.73409539, 10.34672315, 0.842812, 8997, 0.753900, 47.73409899, 10.34673168, 8
475603850, 47.73409330, 10.34673830, 47.73408769, 10.34673013, 0.847184, 8998, 0.749700, 47.73409127, 10.34673861, 8
475603900, 47.73408200, 10.34674850, 47.73407229, 10.34674410, 0.850240, 8999, 0.726600, 47.73407576, 10.34675232, 8
475603950, 47.73407070, 10.34675870, 47.73406458, 10.34675108, 0.843806, 9000, 0.732900, 47.73406808, 10.34675937, 8
475604000, 47.73405930, 10.34676900, 47.73404918, 10.34676504, 0.835357, 9001, 0.749700, 47.73405276, 10.34677352, 8
475604050, 47.73404800, 10.34677920, 47.73404148, 10.34677203, 0.835503, 9002, 0.732900, 47.73404498, 10.34678032, 8
475604100, 47.73403670, 10.34678950, 47.73403378, 10.34677901, 0.839906, 9003, 0.703500, 47.73403714, 10.34678697, 8
475604150, 47.73402540, 10.34679970, 47.73401837, 10.34679297, 0.834818, 9004, 0.730800, 47.73402186, 10.34680124, 8
475604200, 47.73401410, 10.34681000, 47.73401067, 10.34679996, 0.840056, 9005, 0.728700, 47.73401415, 10.34680820, 8
475604250, 47.73400280, 10.34682020, 47.73399527, 10.34681392, 0.838640, 9006, 0.714000, 47.73399868, 10.34682200, 8
475604300, 47.73399150, 10.34683040, 47.73398757, 10.34682091, 0.834292, 9007, 0.720300, 47.73399101, 10.34682906, 8
475604350, 47.73398020, 10.34684060, 47.73397217, 10.34683487, 0.829420, 9008, 0.705600, 47.73397554, 10.34684285, 8
475604400, 47.73396890, 10.34685080, 47.73396446, 10.34684185, 0.829083, 9009, 0.726600, 47.73396793, 10.34685007, 8
475604450, 47.73395750, 10.34686100, 47.73394906, 10.34685582, 0.820049, 9010, 0.722400, 47.73395251, 10.34686399, 8
475604500, 47.73394620, 10.34687130, 47.73394136, 10.34686280, 0.822935, 9011, 0.722400, 47.73394481, 10.34687097, 8
475604550, 47.73393490, 10.34688150, 47.73392596, 10.34687677, 0.818538, 9012, 0.707700, 47.73392934, 10.34688478, 8
475604600, 47.73392350, 10.34689170, 47.73391826, 10.34688375, 0.811134, 9013, 0.716100, 47.73392168, 10.34689185, 8
475604650, 47.73391220, 10.34690190, 47.73390286, 10.34689772, 0.804459, 9014, 0.707700, 47.73390624, 10.34690573, 8
475604700, 47.73390090, 10.34691210, 47.73389516, 10.34690470, 0.807580, 9015, 0.718200, 47.73389859, 10.34691283, 8
475604750, 47.73388960, 10.34692240, 47.73387976, 10.34691867, 0.810608, 9016, 0.714000, 47.73388317, 10.34692675, 8
475604800, 47.73387820, 10.34693260, 47.73387205, 10.34692566, 0.800970, 9017, 0.718200, 47.73387548, 10.34693379, 8
475604850, 47.73386690, 10.34694280, 47.73386435, 10.34693264, 0.797446, 9018, 0.699300, 47.73386769, 10.34694055, 8
475604900, 47.73385560, 10.34695300, 47.73384895, 10.34694661, 0.790564, 9019, 0.709800, 47.73385234, 10.34695464, 8
475604950, 47.73384420, 10.34696320, 47.73384125, 10.34695359, 0.785266, 9020, 0.714000, 47.73384466, 10.34696167, 8
475605000, 47.73383290, 10.34697340, 47.73382585, 10.34696756, 0.783906, 9021, 0.724500, 47.73382931, 10.34697576, 8
475605050, 47.73382160, 10.34698370, 47.73381815, 10.34697454, 0.785569, 9022, 0.657300, 47.73382129, 10.34698198, 8
475605100, 47.73381020, 10.34699390, 47.73380275, 10.34698851, 0.780166, 9023, 0.672000, 47.73380596, 10.34699611, 8
475605150, 47.73379890, 10.34700410, 47.73379505, 10.34699550, 0.772792, 9024, 0.693000, 47.73379836, 10.34700334, 8
475605200, 47.73378760, 10.34701430, 47.73377965, 10.34700947, 0.771300, 9025, 0.693000, 47.73378296, 10.34701731, 8
475605250, 47.73377630, 10.34702460, 47.73377195, 10.34701645, 0.772690, 9026, 0.693000, 47.73377526, 10.34702429, 8
475605300, 47.73376490, 10.34703480, 47.73375656, 10.34703042, 0.762965, 9027, 0.657300, 47.73375970, 10.34703786, 8
475605350, 47.73375360, 10.34704510, 47.73374886, 10.34703741, 0.765888, 9028, 0.663600, 47.73375203, 10.34704492, 8
475605400, 47.73374230, 10.34705530, 47.73373346, 10.34705138, 0.760812, 9029, 0.699300, 47.73373680, 10.34705929, 8
475605450, 47.73373090, 10.34706560, 47.73372576, 10.34705836, 0.760352, 9030, 0.657300, 47.73372890, 10.34706580, 8
475605500, 47.73371960, 10.34707580, 47.73371036, 10.34707233, 0.760746, 9031, 0.678300, 47.73371360, 10.34708000, 8
475605550, 47.73370830, 10.34708610, 47.73370266, 10.34707932, 0.762154, 9032, 0.682500, 47.73370592, 10.34708704, 8
475605600, 47.73369700, 10.34709630, 47.73368726, 10.34709329, 0.752825, 9033, 0.720300, 47.73369070, 10.34710144, 8
475605650, 47.73368560, 10.34710660, 47.73367956, 10.34710028, 0.755373, 9034, 0.714000, 47.73368297, 10.34710836, 8
475605700, 47.73367430, 10.34711680, 47.73367187, 10.34710726, 0.750145, 9035, 0.716100, 47.73367529, 10.34711536, 8
475605750, 47.73366300, 10.34712710, 47.73365647, 10.34712123, 0.755195, 9036, 0.690900, 47.73365977, 10.34712905, 8
475605800, 47.73365170, 10.34713730, 47.73364877, 10.34712822, 0.750086, 9037, 0.659400, 47.73365192, 10.34713568, 8
475605850, 47.73364040, 10.34714750, 47.73363337, 10.34714219, 0.750526, 9038, 0.703500, 47.73363673, 10.34715015, 8
475605900, 47.73362900, 10.34715780, 47.73362567, 10.34714918, 0.743805, 9039, 0.663600, 47.73362884, 10.34715669, 8
475605950, 47.73361770, 10.34716800, 47.73361028, 10.34716315, 0.737127, 9040, 0.701400, 47.73361363, 10.34717109, 8
475606000, 47.73360640, 10.34717820, 47.73360258, 10.34717014, 0.736148, 9041, 0.716100, 47.73360600, 10.34717824, 8
475606050, 47.73359500, 10.34718840, 47.73358718, 10.34718411, 0.729082, 9042, 0.688800, 47.73359047, 10.34719190, 8
475606100, 47.73358370, 10.34719870, 47.73357949, 10.34719110, 0.729470, 9043, 0.661500, 47.73358265, 10.34719858, 8
475606150, 47.73357240, 10.34720890, 47.73356409, 10.34720507, 0.728723, 9044, 0.636300, 47.73356713, 10.34721227, 8
475606200, 47.73356110, 10.34721910, 47.73355639, 10.34721206, 0.723577, 9045, 0.657300, 47.73355953, 10.34721950, 8
475606250, 47.73354970, 10.34722940, 47.73354100, 10.34722603, 0.717669, 9046, 0.669900, 47.73354420, 10.34723361, 8
475606300, 47.73353840, 10.34723960, 47.73353330, 10.34723302, 0.717776, 9047, 0.707700, 47.73353668, 10.34724103, 8
475606350, 47.73352710, 10.34724990, 47.73351791, 10.34724699, 0.724252, 9048, 0.678300, 47.73352115, 10.34725466, 8
475606400, 47.73351580, 10.34726010, 47.73351021, 10.34725398, 0.715199, 9049, 0.690900, 47.73351351, 10.34726180, 8
475606450, 47.73350440, 10.34727040, 47.73350251, 10.34726097, 0.712135, 9050, 0.674100, 47.73350573, 10.34726860, 8
475606500, 47.73349310, 10.34728070, 47.73348712, 10.34727494, 0.717367, 9051, 0.680400, 47.73349037, 10.34728264, 8
475606550, 47.73348180, 10.34729090, 47.73347942, 10.34728193, 0.711347, 9052, 0.684600, 47.73348269, 10.34728968, 8
475606600, 47.73347050, 10.34730120, 47.73346403, 10.34729591, 0.710151, 9053, 0.709800, 47.73346742, 10.34730394, 8
475606650, 47.73345920, 10.34731150, 47.73345633, 10.34730290, 0.716212, 9054, 0.705600, 47.73345970, 10.34731088, 8
475606700, 47.73344780, 10.34732180, 47.73344094, 10.34731687, 0.709523, 9055, 0.686700, 47.73344422, 10.34732464, 8
475606750, 47.73343650, 10.34733210, 47.73343324, 10.34732386, 0.715608, 9056, 0.686700, 47.73343652, 10.34733163, 8
475606800, 47.73342520, 10.34734230, 47.73341785, 10.34733784, 0.712961, 9057, 0.693000, 47.73342116, 10.34734568, 8
475606850, 47.73341390, 10.34735260, 47.73341015, 10.34734483, 0.713974, 9058, 0.672000, 47.73341336, 10.34735243, 8
475606900, 47.73340260, 10.34736290, 47.73339476, 10.34735881, 0.716690, 9059, 0.674100, 47.73339798, 10.34736644, 8
475606950, 47.73339130, 10.34737320, 47.73338707, 10.34736579, 0.718161, 9060, 0.711900, 47.73339047, 10.34737384, 8
475607000, 47.73337990, 10.34738350, 47.73337168, 10.34737977, 0.719852, 9061, 0.703500, 47.73337504, 10.34738773, 8
475607050, 47.73336860, 10.34739380, 47.73336398, 10.34738676, 0.716766, 9062, 0.695100, 47.73336730, 10.34739462, 8
475607100, 47.73335730, 10.34740410, 47.73334859, 10.34740074, 0.718304, 9063, 0.672000, 47.73335180, 10.34740834, 8
475607150, 47.73334600, 10.34741440, 47.73334089, 10.34740773, 0.722827, 9064, 0.703500, 47.73334425, 10.34741569, 8
475607200, 47.73333470, 10.34742470, 47.73332550, 10.34742171, 0.725887, 9065, 0.705600, 47.73332887, 10.34742969, 8
