Time(S), Latitude, Longitude, CM_D2L, New_Lat, New_lon
52.681,47.666595,10.415097,0.428313,47.666626,10.415138
52.781,47.666603,10.415093,0.427818,47.666634,10.415133
52.881,47.666611,10.415089,0.42702,47.666641,10.415127
52.981,47.666615,10.415084,0.425996,47.666641,10.415127
53.081,47.666622,10.415079,0.424841,47.666649,10.415121
53.181,47.666626,10.415074,0.423646,47.66666,10.415115
53.281,47.666634,10.415071,0.422499,47.666668,10.415109
53.381,47.666641,10.415066,0.42149,47.666676,10.415103
53.481,47.666645,10.415061,0.420715,47.666676,10.415103
53.581,47.666653,10.415056,0.420262,47.666683,10.415097
53.681,47.66666,10.415051,0.42022,47.666691,10.415092
53.781,47.666664,10.415048,0.420746,47.666698,10.415086
53.881,47.666672,10.415043,0.421876,47.666698,10.415086
53.981,47.666676,10.415038,0.423507,47.666706,10.41508
54.081,47.666683,10.415033,0.425539,47.666714,10.415073
54.181,47.666691,10.415029,0.427856,47.666725,10.415068
54.281,47.666695,10.415025,0.430329,47.666725,10.415068
54.381,47.666702,10.41502,0.432862,47.666733,10.415062
54.481,47.66671,10.415015,0.435343,47.66674,10.415056
54.581,47.666714,10.41501,0.437673,47.666748,10.415051
54.681,47.666721,10.415007,0.43975,47.666756,10.415045
54.781,47.666725,10.415002,0.44147,47.666756,10.415045
54.881,47.666733,10.414997,0.442734,47.666763,10.415038
54.981,47.66674,10.414992,0.443437,47.666771,10.415032
55.081,47.666744,10.414989,0.443479,47.666771,10.415032
55.181,47.666752,10.414984,0.441929,47.666779,10.415027
55.281,47.666759,10.414979,0.435813,47.66679,10.415021
55.381,47.666763,10.414974,0.425726,47.666798,10.415015
55.481,47.666771,10.41497,0.414491,47.666805,10.415009
55.581,47.666779,10.414966,0.407824,47.666813,10.415004
55.681,47.666782,10.414961,0.405825,47.666813,10.415004
55.781,47.66679,10.414956,0.406937,47.666821,10.414998
55.881,47.666794,10.414952,0.408597,47.666828,10.414992
55.981,47.666801,10.414948,0.410675,47.666828,10.414992
56.081,47.666809,10.414943,0.413051,47.666836,10.414987
56.181,47.666813,10.414939,0.415601,47.666843,10.41498
56.281,47.666821,10.414934,0.418197,47.666855,10.414974
56.381,47.666828,10.414929,0.420852,47.666862,10.414968
56.481,47.666832,10.414925,0.423559,47.666862,10.414968
56.581,47.66684,10.414921,0.426249,47.66687,10.414963
56.681,47.666847,10.414916,0.428853,47.666878,10.414957
56.781,47.666851,10.414911,0.431302,47.666885,10.414951
56.881,47.666859,10.414907,0.433528,47.666893,10.414946
56.981,47.666862,10.414903,0.435629,47.666893,10.414946
57.081,47.66687,10.414898,0.437624,47.666901,10.414939
57.181,47.666878,10.414893,0.439497,47.666908,10.414933
57.281,47.666882,10.414889,0.441239,47.666908,10.414933
57.381,47.666889,10.414885,0.442835,47.66692,10.414927
57.481,47.666897,10.41488,0.444225,47.666927,10.414922
57.581,47.666901,10.414876,0.444945,47.666935,10.414916
57.681,47.666908,10.414871,0.445,47.666943,10.41491
57.781,47.666916,10.414866,0.444538,47.66695,10.414905
57.881,47.66692,10.414863,0.443703,47.66695,10.414905
57.981,47.666927,10.414858,0.442639,47.666958,10.414899
58.081,47.666931,10.414853,0.441494,47.666965,10.414893
58.181,47.666939,10.414849,0.440413,47.666965,10.414893
58.281,47.666946,10.414845,0.43954,47.666973,10.414887
58.381,47.66695,10.41484,0.439019,47.666985,10.414882
58.481,47.666958,10.414836,0.438998,47.666992,10.414876
58.581,47.666965,10.414831,0.439626,47.667,10.41487
58.681,47.666969,10.414826,0.440876,47.667,10.41487
58.781,47.666977,10.414823,0.442408,47.667007,10.414865
58.881,47.666985,10.414818,0.444134,47.667015,10.414859
58.981,47.666988,10.414813,0.445956,47.667023,10.414853
59.081,47.666996,10.414809,0.447787,47.667023,10.414853
59.181,47.667004,10.414804,0.449539,47.66703,10.414847
59.281,47.667007,10.414801,0.45112,47.667042,10.414842
59.381,47.667015,10.414796,0.452441,47.667049,10.414836
59.481,47.667019,10.414791,0.453265,47.667049,10.414836
59.581,47.667027,10.414787,0.453557,47.667057,10.414829
59.681,47.667034,10.414783,0.453411,47.667065,10.414824
59.781,47.667038,10.414778,0.45292,47.667072,10.414818
59.881,47.667046,10.414774,0.452181,47.66708,10.414813
59.981,47.667053,10.414769,0.451279,47.66708,10.414813
60.081,47.667057,10.414765,0.45031,47.667088,10.414807
60.181,47.667065,10.414761,0.449373,47.667095,10.414802
60.281,47.667072,10.414756,0.448455,47.667107,10.414796
60.381,47.667076,10.414752,0.447062,47.667107,10.414796
60.481,47.667084,10.414747,0.445342,47.667114,10.41479
60.581,47.667091,10.414742,0.443588,47.667122,10.414784
60.681,47.667095,10.414739,0.442096,47.66713,10.414779
60.781,47.667103,10.414734,0.441155,47.667137,10.414773
60.881,47.667107,10.41473,0.441061,47.667137,10.414773
60.981,47.667114,10.414725,0.441903,47.667145,10.414767
61.081,47.667122,10.414721,0.442992,47.667152,10.414762
61.181,47.667126,10.414717,0.444238,47.667152,10.414762
61.281,47.667133,10.414712,0.445637,47.667164,10.414756
61.381,47.667141,10.414708,0.447184,47.667171,10.41475
61.481,47.667145,10.414703,0.448878,47.667179,10.414744
61.581,47.667152,10.4147,0.45072,47.667187,10.414739
61.681,47.66716,10.414695,0.452778,47.667187,10.414739
61.781,47.667164,10.41469,0.455376,47.667194,10.414733
61.881,47.667171,10.414686,0.458254,47.667202,10.414727
61.981,47.667179,10.414681,0.461054,47.66721,10.414721
62.081,47.667183,10.414678,0.463418,47.66721,10.414721
62.181,47.667191,10.414673,0.464994,47.667221,10.414716
62.281,47.667198,10.414669,0.465425,47.667229,10.41471
